"","X0.005","X0.01","X0.025","X0.05","X0.1","X0.2","X0.25","X0.3","X0.4","X0.45"
" 1",63.6567411628716,31.820515953774,12.7062047361747,6.31375151467504,3.07768353717525,1.37638192047117,1,0.726542528005361,0.324919696232906,0.158384440324536
" 2",9.92484320091829,6.96455673428327,4.30265272974946,2.91998558035373,1.88561808316413,1.06066017177982,0.816496580927726,0.617213399848368,0.288675134594813,0.142133810903739
" 3",5.84090930973336,4.54070285856813,3.18244630528371,2.35336343480183,1.63774435369621,0.978472312363304,0.764892328404345,0.584389727439819,0.27667066233269,0.136598199353699
" 4",4.60409487134999,3.7469473879792,2.77644510519779,2.13184678632665,1.53320627405894,0.940964577235181,0.740697084112683,0.568649063049706,0.270722294707597,0.133830367111943
" 5",4.03214298355523,3.36492999890722,2.57058183563631,2.01504837333302,1.47588404882448,0.919543780240826,0.726686843800423,0.559429644469361,0.267180865704145,0.132175175231687
" 6",3.70742802132478,3.14266840329098,2.44691185114497,1.9431802805153,1.43975574726515,0.905703285180532,0.717558196491413,0.553380923551519,0.264834532933573,0.131075653115726
" 7",3.49948329735049,2.99795156686853,2.36462425159278,1.89457860509001,1.41492392765051,0.896029644313765,0.711141778081787,0.549109657947285,0.263166861352023,0.130292796591777
" 8",3.3553873313334,2.89645944770962,2.30600413520417,1.8595480375309,1.39681530974387,0.88888951776702,0.706386612644839,0.545933763540483,0.261921096748832,0.129707271554718
" 9",3.24983554159213,2.82143792502581,2.2621571627982,1.83311293265624,1.38302873839663,0.883403859685534,0.702722146751326,0.543480241454297,0.260955336473911,0.129252932151831
" 10",3.16927267261695,2.7637694581127,2.22813885198627,1.81246112281168,1.37218364111034,0.879057828550589,0.699812061312432,0.541528038755016,0.26018482949208,0.128890189293274
" 11",3.10580651553928,2.71807918381386,2.20098516009164,1.79588481870404,1.36343031802054,0.875529978073882,0.697445327559882,0.539937878465863,0.25955586047627,0.128593911023869
" 12",3.0545395893929,2.68099799312091,2.17881282966723,1.78228755564932,1.35621733402321,0.872609291588138,0.695482865511793,0.538617668201916,0.259032745676887,0.128347380795611
" 13",3.01227583871658,2.65030883791219,2.16036865646279,1.77093339598687,1.35017128878005,0.870151533968174,0.693829304235441,0.537504089536841,0.258590857711768,0.128139049818446
" 14",2.97684273437083,2.62449406759005,2.1447866879178,1.76131013577489,1.34503037445465,0.86805478155742,0.692417069570005,0.536552179807456,0.258212653889059,0.127960684701425
" 15",2.94671288347524,2.60248029501112,2.13144954555978,1.75305035569257,1.34060560785046,0.866244973194951,0.69119694895849,0.535729132976048,0.257885300937261,0.12780625811073
" 16",2.9207816224251,2.58348718527599,2.11990529922126,1.74588367627625,1.33675716732731,0.864667001798292,0.690132253810561,0.535010452901308,0.257599194855142,0.127671256688462
" 17",2.89823051967742,2.56693398372472,2.10981557783332,1.73960672607507,1.33337938972163,0.863279017420053,0.689195075153939,0.534377479839004,0.257347005751278,0.127552234010648
" 18",2.87844047273861,2.55237963018225,2.10092204024104,1.73406360661754,1.33039094356991,0.862048667989598,0.6883638064662,0.533815750528978,0.257123042638171,0.127446513046709
" 19",2.86093460646498,2.53948319062396,2.09302405440831,1.72913281152137,1.3277282090268,0.860950550268929,0.68762146020396,0.533313881642205,0.256922819796155,0.127351982891874
" 20",2.84533970978611,2.52797700274157,2.08596344726586,1.72471824292079,1.32534070698505,0.859964439732386,0.686954496448803,0.532862791616332,0.256742753854502,0.127266956684607
" 21",2.83135955802305,2.51764801604474,2.07961384472768,1.72074290281188,1.32318787386517,0.859074035194826,0.686351990726954,0.532455147014497,0.256579947831049,0.127190070255603
" 22",2.81875606060014,2.50832455289908,2.07387306790403,1.71714437438024,1.32123674161336,0.858266051658204,0.685805031721886,0.532084961313124,0.256432034344471,0.127120208510703
" 23",2.80733568377,2.49986673949467,2.06865761041905,1.71387152774705,1.31946023981616,0.857529553688035,0.685306278061296,0.531747299315413,0.256297059914685,0.127056451082253
" 24",2.79693950477446,2.49215947315776,2.06389856162803,1.71088207990943,1.31783593367315,0.856855458075656,0.684849627236982,0.531438056118017,0.256173398317792,0.126998031612506
" 25",2.78743581367697,2.48510717541076,2.0595385527533,1.7081407612519,1.31634507267387,0.856236157676469,0.68442996490427,0.531153789581928,0.256059684827151,0.126944306840912
" 26",2.77871453332968,2.47862982359124,2.05552943864287,1.70561791975927,1.31497186427052,0.855665233328168,0.684042972682873,0.530891591786023,0.255954765694868,0.126894732848101
" 27",2.77068295712221,2.47265991195601,2.05183051648029,1.70328844572213,1.31370291282927,0.855137230694282,0.683684979131031,0.530648989277233,0.255857658906877,0.126848846595769
" 28",2.76326245546144,2.46714009796747,2.04840714179524,1.70113093426593,1.31252678159267,0.854647485582222,0.683352842988506,0.530423864863239,0.255767523382335,0.126806251434684
" 29",2.75638590367061,2.46202136015041,2.0452296421327,1.6991270265335,1.31143364730155,0.854191985881856,0.683043860821613,0.530214395709161,0.255683634571256,0.126766605620275
" 30",2.74999565356723,2.45726154240059,2.04227245630124,1.69726088659396,1.3104150253914,0.853767261471298,0.682755693321292,0.530019003906505,0.255605364951913,0.126729613132074
" 31",2.74404191929427,2.45282419340265,2.03951344639641,1.69551878254587,1.30946354949465,0.853370295696944,0.682486306002572,0.529836316678254,0.255532168317528,0.126695016275336
" 32",2.73848148201219,2.44867763367205,2.0369333434601,1.69388874838371,1.30857279312952,0.852998453651888,0.682233921126274,0.529665134097763,0.255463567020374,0.12666258967393
" 33",2.73327664235084,2.44479419980781,2.03451529744934,1.69236030903034,1.30773712445089,0.852649423647989,0.681996978441277,0.529504402716964,0.255399141543731,0.126632135358566
" 34",2.72839436707072,2.44114962790648,2.03224450931772,1.69092425518685,1.30695158712643,0.852321169134503,0.681774102915578,0.529353193879363,0.255338521920775,0.12660347872428
" 35",2.72380558920809,2.43772254714374,2.03010792825034,1.68957245778027,1.30621180201603,0.852011888950969,0.68156407804659,0.529210685774891,0.255281380629749,0.126576465182841
" 36",2.71948463045001,2.43449406123114,2.02809400098045,1.68829771411682,1.30551388553625,0.851719984276387,0.681365823656867,0.529076148504535,0.25522742667741,0.126550957374615
" 37",2.71540872154999,2.43144740046467,2.02619246302911,1.68709361959626,1.30485438149762,0.851444030994598,0.681178377319854,0.528948931581863,0.255176400645191,0.126526832833789
" 38",2.71155760191308,2.42856763085909,2.02439416391197,1.68595446016674,1.3042302038905,0.851182756467946,0.681000878741716,0.528828453419898,0.255128070520184,0.126503982023204
