"","X0.995","X0.99","X0.975","X0.95","X0.9","X0.75","X0.5","X0.25","X0.1","X0.05","X0.025","X0.01","X0.005"
" 53",30.2300333561575,32.0184929251829,34.7763286166906,37.2758927996443,40.3076148476204,45.741198824166,52.3348447354703,59.5343501154356,66.5481970136092,70.9934528337823,75.0018643219286,79.8433381222515,83.2525512051611
" 54",30.9812527820589,32.793446783909,35.5863402635296,38.1162180624794,41.1830387801555,46.6755258167207,53.334816370997,60.5999800171232,67.6727861577775,72.1532161670231,76.1920481662501,81.0687719062971,84.5019045327765
" 55",31.7347574745266,33.5704752510002,36.3981111443153,38.9580265267851,42.0596232866359,47.6104668580367,54.3347890514014,61.6649974555517,68.7962142397093,73.3114930290833,77.3804655764191,82.2921168291997,85.748951558641
" 56",32.4904856931347,34.3495220571782,37.2115933117151,39.8012776309313,42.9373365284392,48.546005035775,55.334762719999,62.7294192571774,69.9185131248764,74.4683241593094,78.5671648903242,83.5134299319894,86.9937551608717
" 57",33.2483784244864,35.1305334290755,38.0267409562174,40.6459326283106,43.8161480963559,49.4821242000799,56.3347373241322,63.7932614920651,71.0397132474043,75.6237484693761,79.7521922802904,84.7327657050638,88.2363754099821
" 58",34.0083792167236,35.9134579370852,38.8435102750959,41.491954475669,44.6960289223411,50.4188089162985,57.3347128148188,64.856539520638,72.1598436984922,76.7778031560615,80.9355918865364,85.9501762451035,89.476869741381
" 59",34.770434026712,36.6982463549206,39.6618593515157,42.3393077301135,45.5769511981486,51.356044421404,58.3346891464371,65.9192680367781,73.2789323079308,77.9305238052304,82.1174059402383,87.1657113997876,90.7152931144758
" 60",35.5344910787386,37.4848515298038,40.4817480428418,43.1879584539898,46.4588883002034,52.2938165837751,59.3346662764424,66.9814611076191,74.3970057193686,79.0819444878487,83.2976748771732,88.3794189014493,91.9516981596297
" 61",36.3005007336786,38.2732282623169,41.3031378773065,44.0378741269047,47.341814720137,53.2321118660202,60.3346441651123,68.0431322103364,75.5140894598992,80.2320978487627,84.4764374428091,89.591344490687,93.1861353140891
" 62",37.0684153677009,39.0633331950518,42.1259919582837,44.8890235642502,48.2257060004723,54.1709172905693,61.3346227753158,69.104294266207,76.6302080044877,81.3810151888991,85.6537307896153,90.8015320308387,94.4186529478745
" 63",37.8381892596762,39.8551247092834,42.950274875499,45.7413768416503,49.1105386750008,55.1102204077869,62.3346020723062,70.1649596721832,77.7453848356949,82.5287265414718,86.8295905672861,92.010023614132,95.6492974805285
" 64",38.6097784865372,40.6485628289725,43.7759526225691,46.594905224814,49.9962902134377,56.050009266382,63.334582023532,71.2251403301971,78.8596424991116,83.675260742721,88.0040510064975,93.2168596602384,96.8781134895179
" 65",39.3831408259165,41.4436091314728,44.6029925203293,47.4495811043279,50.8829389699884,56.9902723859174,64.3345625984669,72.2848476743931,79.9730026548754,84.8206454976567,89.1771449967562,94.422079007885,98.1051438110094
" 66",40.1582356654523,42.2402266643781,45.4313631454597,48.3053779349718,51.7704641354923,57.9309987312391,65.3345437684544,73.344092696465,81.0854861256016,85.9649074412309,90.3489041588409,95.6257190001129,99.3304296336632
" 67",40.9350239182143,43.0383798680027,46.2610342639701,49.1622701791768,52.6588456928439,58.8721776886634,66.3345255065669,74.4028859692542,82.197112941029,87.1080721953219,91.5193589122895,96.8278155637123,100.554010586028
" 68",41.7134679437507,43.8380345030358,47.0919767691446,50.0202332542893,53.5480643754231,59.8137990437772,67.3345077874772,75.4612376687567,83.3079023796519,88.2501644218741,92.6885385383386,98.0284032833141,101.775924818064
" 69",42.4935314743095,44.639157582953,47.9241626235869,50.8792434833286,54.4381016282878,60.7558529607193,68.3344905873412,76.519157594663,84.4178730075836,89.391207872508,93.8564712386854,99.2275154705695,102.996209077265
" 70",43.2751795458235,45.4417173108106,48.7575648050395,51.7392780489629,55.3289395719096,61.6983299628245,69.3344738836914,77.5766551895536,85.5270427148719,90.5312254348807,95.0231841904062,100.425184228811,104.214898779817
" 71",44.0583784332893,46.2456830200774,49.5921572556806,52.6003149504472,56.2205609682506,62.6412209145208,70.3344576553387,78.633739556852,86.6354287494692,91.6702391760548,96.1887035973332,101.621440513552,105.432028077177
